Iteration: 99,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 100,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 101,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 102,  Best: 0.338171,  F: 0.100006,  CR: 0.100005,  NP: 130
Iteration: 103,  Best: 0.338171,  F: 0.507768,  CR: 0.394499,  NP: 130
Iteration: 104,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 105,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 106,  Best: 0.338171,  F: 0.100042,  CR: 0.100030,  NP: 130
Iteration: 107,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 108,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 109,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 110,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 111,  Best: 0.338171,  F: 0.348694,  CR: 0.279612,  NP: 130
Iteration: 112,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 113,  Best: 0.338171,  F: 0.100055,  CR: 0.100040,  NP: 130
Iteration: 114,  Best: 0.338171,  F: 0.100022,  CR: 0.100016,  NP: 130
Iteration: 115,  Best: 0.338171,  F: 0.100027,  CR: 0.100019,  NP: 130
Iteration: 116,  Best: 0.338171,  F: 0.100039,  CR: 0.100028,  NP: 130
Iteration: 117,  Best: 0.338171,  F: 0.100009,  CR: 0.100007,  NP: 130
Iteration: 118,  Best: 0.338171,  F: 0.100159,  CR: 0.100115,  NP: 130
Iteration: 119,  Best: 0.338171,  F: 0.114929,  CR: 0.110782,  NP: 130
Iteration: 120,  Best: 0.338171,  F: 0.272895,  CR: 0.224874,  NP: 130
Iteration: 121,  Best: 0.338171,  F: 0.100003,  CR: 0.100002,  NP: 130
Iteration: 122,  Best: 0.338171,  F: 0.100001,  CR: 0.100001,  NP: 130
Iteration: 123,  Best: 0.338171,  F: 0.100057,  CR: 0.100041,  NP: 130
Iteration: 124,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 125,  Best: 0.338171,  F: 0.100008,  CR: 0.100006,  NP: 130
Iteration: 126,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 127,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
Iteration: 128,  Best: 0.338171,  F: 0.100045,  CR: 0.100032,  NP: 130
Iteration: 129,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 130,  Best: 0.338171,  F: 0.389953,  CR: 0.309411,  NP: 130
Iteration: 131,  Best: 0.338171,  F: 0.100031,  CR: 0.100022,  NP: 130
Iteration: 132,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 133,  Best: 0.338171,  F: 1.000000,  CR: 0.750000,  NP: 130
Iteration: 134,  Best: 0.338171,  F: 0.110863,  CR: 0.107845,  NP: 130
Iteration: 135,  Best: 0.338171,  F: 0.100013,  CR: 0.100010,  NP: 130
Iteration: 136,  Best: 0.338171,  F: 0.100013,  CR: 0.100010,  NP: 130
Iteration: 137,  Best: 0.338171,  F: 0.100000,  CR: 0.100000,  NP: 130
