x4,x3,x2,x1
12.2,21,221478.71,1.214158359
12.2,21,221517.498,1.217885061
12.2,21,221559.047,1.205420228
12.2,21,221597.129,1.217458941
12.2,21,221637.862,1.207934405
12.2,21,221678.093,1.213491826
12.2,21,221717.2,1.208274399
12.2,21,221758.437,1.203450577
12.2,21,221796.686,1.217052685
12.2,21,221837.084,1.20677116
12.2,21,221876.999,1.214387768
12.2,21,221917.907,1.19758613
12.2,21,221956.165,1.21738245
12.2,21,221996.436,1.213189298
12.2,21,222036.242,1.207521101
12.2,21,222075.955,1.207741254
12.2,21,222115.802,1.206395057
12.2,21,222155.632,1.206836791
12.2,21,222196.753,1.20454826
12.2,21,222234.871,1.216171449
12.2,21,222276.308,1.198633697
12.2,21,222314.641,1.216775211
12.2,21,222354.983,1.205489763
12.2,21,222394.8,1.20864086
12.2,21,222434.719,1.206545455
12.2,21,222475.745,1.198384667
12.2,21,222513.78,1.210961421
12.2,21,222555.317,1.198911834
12.2,21,222593.395,1.217543322
12.2,21,222633.704,1.208872691
12.2,21,222674.655,1.195766803
12.2,21,222712.765,1.215552211
12.2,21,222753.155,1.206332865
12.2,21,222793.72,1.201228153
12.2,21,222831.968,1.221422372
12.2,21,222873.373,1.200644282
12.2,21,222912.729,1.213749466
12.2,21,222951.291,1.217676652
12.2,21,222991.652,1.213041839
12.2,21,223031.404,1.20931285
12.2,21,223072.309,1.19919253
12.2,21,223110.39,1.217869819
12.2,21,223151.759,1.205350723
12.2,21,223189.892,1.219439338
12.2,21,223230.15,1.213527251
12.2,21,223270.729,1.211786372
12.2,21,223309.257,1.220871379
12.2,21,223349.401,1.208603774
12.2,21,223390.411,1.206517705
12.2,21,223428.464,1.22409171
12.2,21,223468.801,1.216494068
12.2,21,223508.543,1.21393185
12.2,21,223548.628,1.215590011
12.2,21,223589.289,1.203273404
12.2,21,223628.712,1.210099641
12.2,21,223668.505,1.208890005
12.2,21,223707.101,1.22256261
12.2,21,223747.486,1.207495039
12.2,21,223787.383,1.213550816
12.2,21,223827.161,1.208910991
