x4,x3,x2,x1
3.7,26,4.6399e+05,1.8334
13.4,26,6.7282e+05,1.2799
9,26,9.53e+05,1.4228
5.1,26,3.6974e+05,1.7721
8,26,5.1985e+05,1.7939
3.7,26,4.4561e+05,1.8379
6.1,26,9.9882e+05,1.4251
4.3,26,1.0499e+06,1.4251
3.7,26,4.365e+05,1.8056
3.7,24,4.1589e+05,1.8031
9,21,2.288e+05,1.229
16.3,26,7.9007e+05,1.5984
6.1,26,9.6844e+05,1.4251
4.3,26,1.0637e+06,1.417
15.3,26,7.1193e+05,1.4032
3.7,26,4.3236e+05,1.8109
8,26,4.6916e+05,1.9173
15.3,26,7.3034e+05,1.2884
15.3,26,7.3622e+05,1.3323
6.1,26,1.0003e+06,1.4251
6.9,26,5.768e+05,1.7907
12.7,26,8.4304e+05,1.591
5.5,26,3.0536e+05,1.207
6.9,26,5.284e+05,1.9037
13.4,26,6.8231e+05,1.278
3.7,24,4.1209e+05,1.8328
9,26,9.1225e+05,1.5694
4.3,26,1.0466e+06,1.4251
9,26,9.0851e+05,1.5327
15.3,26,7.4814e+05,1.4443
6.9,26,5.6415e+05,1.8415
8,26,4.7487e+05,1.8462
16.3,26,8.1974e+05,1.6062
3.7,26,4.3097e+05,1.7695
12.7,26,8.717e+05,1.4893
15.3,26,7.3862e+05,1.3724
15.3,26,7.1181e+05,1.3845
6.1,26,9.7598e+05,1.4251
6.1,26,9.6442e+05,1.4251
6.9,26,5.5284e+05,1.779
4.3,26,1.0657e+06,1.4448
5.1,26,3.8828e+05,1.7882
16.3,26,7.7917e+05,1.6053
9,24,2.5264e+05,1.1906
4.3,26,1.0557e+06,1.3821
6.9,26,5.7098e+05,1.797
6.1,26,9.8812e+05,1.4251
6.9,26,5.8511e+05,1.7903
13.4,26,6.6554e+05,1.3394
11.5,26,6.3194e+05,1.3991
9,24,2.6101e+05,1.2175
5.1,26,3.8647e+05,1.7998
12.7,26,8.5575e+05,1.396
4.3,26,1.0645e+06,1.3911
13.4,26,6.5476e+05,1.2535
4.3,26,1.0337e+06,1.4251
13.4,26,6.7533e+05,1.4076
5.5,26,3.0083e+05,1.2026
15.3,26,7.2293e+05,1.3582
13.4,26,6.729e+05,1.2924
6.1,26,1.0089e+06,1.4251
6.9,26,5.6907e+05,1.7908
15.3,26,7.3808e+05,1.3899
15.3,26,7.2699e+05,1.3533
11.5,26,6.4063e+05,1.2913
11.5,26,5.8924e+05,1.2188
13.4,26,6.9115e+05,1.366
9,26,9.2537e+05,1.4691
16.3,26,8.0657e+05,1.5988
5.1,24,3.5037e+05,1.6964
9,24,2.4545e+05,1.1966
6.9,26,5.5159e+05,1.7715
6.1,26,9.938e+05,1.4251
5.1,26,3.8426e+05,1.8063
9,26,9.2435e+05,1.5637
4.3,26,1.0601e+06,1.4553
9,21,2.2992e+05,1.2067
8,26,4.9483e+05,1.88
12.7,26,8.4991e+05,1.5324
15.3,26,7.1727e+05,1.4568
12.7,26,8.6006e+05,1.5737
15.3,26,7.3883e+05,1.3944
16.3,26,7.7299e+05,1.585
5.1,24,4.0315e+05,1.7164
13.4,26,6.7617e+05,1.2798
9,24,2.5268e+05,1.2137
12.7,26,8.6865e+05,1.4709
5.1,24,3.5078e+05,1.7297
16.3,26,7.9656e+05,1.6284
11.5,26,6.3418e+05,1.4047
8,26,5.179e+05,1.8177
9,26,9.1823e+05,1.6358
15.3,26,7.6697e+05,1.5436
15.3,26,7.4418e+05,1.5388
9,26,9.5536e+05,1.3637
9,24,2.5462e+05,1.2565
9,21,2.2837e+05,1.2032
16.3,26,8.1489e+05,1.6094
12.7,26,8.8903e+05,1.6448
6.1,26,1.0064e+06,1.4251
12.7,26,8.5177e+05,1.519
5.1,24,4.02e+05,1.7698
4.3,26,1.0594e+06,1.4053
3.7,26,4.3882e+05,1.7715
9,26,9.4225e+05,1.6546
16.3,26,8.2775e+05,1.5495
12.7,26,8.6358e+05,1.5775
16.3,26,7.9307e+05,1.6096
9,26,9.0588e+05,1.6224
5.1,24,4.0266e+05,1.7141
13.4,26,7.0552e+05,1.3989
9,26,9.2724e+05,1.3702
11.5,26,6.1905e+05,1.246
3.7,26,4.5501e+05,1.8838
6.9,26,5.5624e+05,1.8142
8,26,4.9404e+05,1.8005
6.1,26,1.0087e+06,1.4251
6.9,26,5.3492e+05,1.7954
9,26,9.4441e+05,1.545
11.5,26,6.3724e+05,1.3345
9,24,2.6372e+05,1.213
3.7,26,4.6162e+05,1.8752
6.9,26,5.6013e+05,1.8501
5.1,24,4.0893e+05,1.8102
12.7,26,8.5914e+05,1.4523
4.3,26,1.0345e+06,1.4251
12.7,26,8.8768e+05,1.6458
3.7,24,4.1246e+05,1.7978
6.9,26,5.2964e+05,1.8106
16.3,26,7.9171e+05,1.7296
8,26,5.2398e+05,1.8442
15.3,26,7.1693e+05,1.4346
6.1,26,1.0079e+06,1.4251
16.3,26,8.1244e+05,1.6383
6.1,26,1.0081e+06,1.4251
16.3,26,8.291e+05,1.5524
8,26,4.7302e+05,1.7984
9,24,2.5226e+05,1.2107
6.9,26,5.7467e+05,1.8351
12.7,26,8.4304e+05,1.591
9,26,9.3173e+05,1.4528
9,24,2.4227e+05,1.2286
6.9,26,5.7867e+05,1.7978
15.3,26,7.2155e+05,1.3998
15.3,26,7.5781e+05,1.6021
15.3,26,7.1235e+05,1.3399
3.7,26,4.5595e+05,1.7972
5.5,26,3.2859e+05,1.767
4.3,26,1.035e+06,1.4251
9,26,9.3559e+05,1.4443
5.5,21,3.2178e+05,1.362
4.3,26,1.0558e+06,1.4061
3.7,26,4.2509e+05,1.7293
11.5,26,5.8941e+05,1.2298
15.3,26,7.2775e+05,1.3054
15.3,26,7.1349e+05,1.447
4.3,26,1.0724e+06,1.65
12.7,26,8.8473e+05,1.5057
8,26,5.1923e+05,1.8734
12.7,26,8.612e+05,1.6319
5.5,26,2.9064e+05,1.1887
9,26,9.4614e+05,1.3972
5.5,24,3.4522e+05,1.7606
15.3,26,7.1185e+05,1.4077
5.5,26,3.0965e+05,1.2168
5.1,26,3.5617e+05,1.7285
3.7,26,4.3748e+05,1.9015
11.5,26,6.0083e+05,1.2404
3.7,26,4.3245e+05,1.8023
13.4,26,6.9905e+05,1.4462
16.3,26,8.2454e+05,1.5445
16.3,26,8.2003e+05,1.6051
5.5,24,3.3395e+05,1.7566
6.1,26,9.8456e+05,1.4251
5.5,21,3.2206e+05,1.218
8,26,4.9652e+05,1.8931
5.5,26,2.8804e+05,1.2443
15.3,26,7.3879e+05,1.4773
13.4,26,6.8475e+05,1.3664
4.3,26,1.0744e+06,1.3425
12.7,26,8.5156e+05,1.5639
12.7,26,8.8153e+05,1.6856
15.3,26,7.6191e+05,1.6103
3.7,26,4.2826e+05,1.7348
16.3,26,7.7429e+05,1.5715
9,24,2.4375e+05,1.2003
8,26,4.6818e+05,1.7987
12.7,26,8.7875e+05,1.4043
8,26,4.855e+05,1.8644
5.5,24,3.3869e+05,1.746
9,21,2.2945e+05,1.2095
6.9,26,5.7575e+05,1.8266
9,24,2.5627e+05,1.2417
6.9,26,5.3344e+05,1.733
16.3,26,8.2011e+05,1.6006
3.7,24,4.1364e+05,1.8109
8,26,5.2543e+05,1.8315
16.3,26,7.9476e+05,1.5632
6.1,26,9.8124e+05,1.4251
6.9,26,5.433e+05,1.8476
5.1,24,3.9561e+05,1.7417
15.3,26,7.2716e+05,1.3624
5.5,26,3.1253e+05,1.1991
6.9,26,5.6431e+05,1.841
9,26,9.3487e+05,1.6221
11.5,26,5.9768e+05,1.2441
12.7,26,8.8692e+05,1.5672
4.3,26,1.0362e+06,1.4251
9,24,2.636e+05,1.195
15.3,26,7.2343e+05,1.4092
